"clusterID","cellType","Group","Proportion"
"3","Astrocyte","normal1",0.000586739683160571
"13","Astrocyte","normal1",0.000391159788773714
"14","Astrocyte","normal1",0.000195579894386857
"21","Astrocyte","normal1",0.000195579894386857
"0","B_cell","normal1",0.008214355564248
"4","B_cell","normal1",0.0185800899667514
"6","B_cell","normal1",0.00117347936632114
"7","B_cell","normal1",0.000195579894386857
"9","B_cell","normal1",0.00254253862702914
"10","B_cell","normal1",0.000195579894386857
"12","B_cell","normal1",0.0105613142968903
"18","B_cell","normal1",0.000586739683160571
"20","B_cell","normal1",0.000782319577547428
"23","B_cell","normal1",0.000391159788773714
"24","B_cell","normal1",0.000586739683160571
"25","B_cell","normal1",0.001369059260708
"26","B_cell","normal1",0.000391159788773714
"28","B_cell","normal1",0.000195579894386857
"0","BM","normal1",0.110111480539801
"1","BM","normal1",0.000391159788773714
"3","BM","normal1",0.000195579894386857
"4","BM","normal1",0.00449833757089771
"5","BM","normal1",0.000195579894386857
"6","BM","normal1",0.000782319577547428
"7","BM","normal1",0.01369059260708
"9","BM","normal1",0.0105613142968903
"10","BM","normal1",0.000391159788773714
"12","BM","normal1",0.0132994328183063
"14","BM","normal1",0.000195579894386857
"20","BM","normal1",0.00899667514179542
"26","BM","normal1",0.00625855662037943
"3","Chondrocytes","normal1",0.00195579894386857
"14","Chondrocytes","normal1",0.001369059260708
"6","DC","normal1",0.000195579894386857
"3","Embryonic_stem_cells","normal1",0.000195579894386857
"14","Embryonic_stem_cells","normal1",0.000391159788773714
"2","Endothelial_cells","normal1",0.000391159788773714
"5","Endothelial_cells","normal1",0.00234695873264228
"13","Endothelial_cells","normal1",0.00977899471934285
"21","Endothelial_cells","normal1",0.00215137883825543
"1","Epithelial_cells","normal1",0.069822022296108
"10","Epithelial_cells","normal1",0.021904948171328
"14","Epithelial_cells","normal1",0.000195579894386857
"19","Epithelial_cells","normal1",0.001369059260708
"27","Epithelial_cells","normal1",0.000782319577547428
"29","Epithelial_cells","normal1",0.000782319577547428
"1","Erythroblast","normal1",0.005476237042832
"3","Erythroblast","normal1",0.000195579894386857
"4","Erythroblast","normal1",0.000586739683160571
"5","Erythroblast","normal1",0.00332485820457657
"9","Erythroblast","normal1",0.00254253862702914
"10","Erythroblast","normal1",0.000782319577547428
"13","Erythroblast","normal1",0.000195579894386857
"21","Erythroblast","normal1",0.000782319577547428
"23","Erythroblast","normal1",0.000195579894386857
"26","Erythroblast","normal1",0.000391159788773714
"3","Fibroblasts","normal1",0.0103657344025034
"13","Fibroblasts","normal1",0.000195579894386857
"14","Fibroblasts","normal1",0.00215137883825543
"15","Fibroblasts","normal1",0.000195579894386857
"0","Gametocytes","normal1",0.000195579894386857
"1","Gametocytes","normal1",0.0199491492274594
"2","Gametocytes","normal1",0.000391159788773714
"3","Gametocytes","normal1",0.0166242910228828
"4","Gametocytes","normal1",0.005476237042832
"5","Gametocytes","normal1",0.0442010561314297
"6","Gametocytes","normal1",0.000195579894386857
"7","Gametocytes","normal1",0.000391159788773714
"9","Gametocytes","normal1",0.00704087619792685
"10","Gametocytes","normal1",0.00488949735967143
"13","Gametocytes","normal1",0.0107568941912771
"14","Gametocytes","normal1",0.00645413651476628
"15","Gametocytes","normal1",0.00880109524740857
"19","Gametocytes","normal1",0.000391159788773714
"20","Gametocytes","normal1",0.000391159788773714
"21","Gametocytes","normal1",0.0105613142968903
"22","Gametocytes","normal1",0.000195579894386857
"23","Gametocytes","normal1",0.00449833757089771
"24","Gametocytes","normal1",0.000195579894386857
"25","Gametocytes","normal1",0.000782319577547428
"27","Gametocytes","normal1",0.000195579894386857
"28","Gametocytes","normal1",0.00391159788773714
"29","Gametocytes","normal1",0.000782319577547428
"26","HSC_-G-CSF","normal1",0.000195579894386857
"1","Keratinocytes","normal1",0.00488949735967143
"7","Keratinocytes","normal1",0.000195579894386857
"9","Keratinocytes","normal1",0.000391159788773714
"10","Keratinocytes","normal1",0.00488949735967143
"23","Keratinocytes","normal1",0.000195579894386857
"0","Macrophage","normal1",0.0265988656366126
"3","Macrophage","normal1",0.000195579894386857
"6","Macrophage","normal1",0.00176021904948171
"12","Macrophage","normal1",0.000391159788773714
"20","Macrophage","normal1",0.00195579894386857
"26","Macrophage","normal1",0.00156463915509486
"0","Monocyte","normal1",0.000391159788773714
"3","MSC","normal1",0.004107177782124
"14","MSC","normal1",0.00371601799335028
"15","MSC","normal1",0.00117347936632114
"0","Myelocyte","normal1",0.0277723450029337
"1","Myelocyte","normal1",0.000391159788773714
"3","Myelocyte","normal1",0.000391159788773714
"4","Myelocyte","normal1",0.000586739683160571
"7","Myelocyte","normal1",0.00508507725405828
"9","Myelocyte","normal1",0.00254253862702914
"12","Myelocyte","normal1",0.00156463915509486
"15","Myelocyte","normal1",0.000195579894386857
"20","Myelocyte","normal1",0.00195579894386857
"26","Myelocyte","normal1",0.000391159788773714
"3","Neuroepithelial_cell","normal1",0.026012125953452
