"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"IGKC",0,-4.70156882867584,0.177,0.962,0
"HLA-DRB5",0,-2.59932033757602,0.073,0.629,0
"RPS10",0,-1.3657732555738,0.727,0.981,0
"SFTPC",0,6.77894168549827,0.948,0.023,0
"HIF1A",0,-1.50625582975672,0.17,0.723,0
"HSP90AA1",0,-1.59198265287068,0.889,0.995,0
"IGHG1",0,-5.47578437683232,0.025,0.622,0
"IGHG3",0,-4.86711444121885,0.008,0.468,0
"GABARAP",0,-1.02919581461335,0.098,0.627,0
"RPS4Y1",0,-2.53623933952494,0,0.855,0
"IGLC2",0,-5.2250346530669,0.023,0.726,0
"IGHA1",2.78589814134089e-290,-2.87577673186284,0.154,0.666,6.19500169689974e-286
"IGHG4",3.83111502079202e-267,-3.76848055031432,0.008,0.334,8.51925047173522e-263
"RPL36A",3.29102412102957e-265,-1.17587566375795,0.689,0.968,7.31825033793345e-261
"XIST",1.77299993337161e-262,1.55422575452978,0.544,0,3.94261995183845e-258
"EMP1",1.14710985148634e-241,-1.82045099080192,0.207,0.672,2.55082817675018e-237
"TXNIP",9.71603107372839e-236,1.71353252837676,0.84,0.587,2.16055382986498e-231
"IGHA2",1.67556649069318e-227,-3.61954095368626,0.003,0.276,3.72595720535442e-223
"LMNA",3.08117211411551e-220,-1.81277862505764,0.607,0.881,6.85160243015866e-216
"FOSB",2.07745355393218e-215,-1.28751117902604,0.457,0.878,4.61963346787899e-211
"MT-ND1",5.12939995043288e-213,-1.02620560226586,0.975,0.98,1.14062466697776e-208
"FABP4",6.67923755997584e-213,3.84827866454076,0.535,0.058,1.48526205621183e-208
"TIMP1",1.56856767454019e-207,-2.44482965884575,0.603,0.91,3.48802393787501e-203
"HSPA1B",1.47497383900351e-206,-1.63065091752437,0.637,0.91,3.27989932579211e-202
"CCL2",1.46123116547071e-200,-2.4891829028239,0.1,0.485,3.24933974265722e-196
"C1QA",4.46321841043226e-198,2.33740461970549,0.675,0.206,9.92485877927821e-194
"HSPH1",1.30529605170186e-194,-1.10503533838709,0.258,0.681,2.90258683016943e-190
"C1QB",4.43032926518353e-188,2.70595497846696,0.634,0.188,9.85172318698861e-184
"ARID5B",5.52532118852864e-186,-1.17109441904785,0.248,0.677,1.22866567269311e-181
"HMGN2",1.44022472043454e-179,1.18018706896404,0.82,0.704,3.20262771083029e-175
"HSPA8",2.35817488000707e-172,-1.05801414699234,0.747,0.951,5.24387348067171e-168
"LINC00152",5.48607034112761e-168,-1.06237122188298,0.133,0.501,1.21993746175655e-163
"SERPINH1",5.51898866396192e-166,-1.15725163919297,0.138,0.492,1.22725750920521e-161
"NUPR1",7.03165726188857e-162,1.53253002075719,0.698,0.406,1.56362962532616e-157
"HSPA1A",7.08886556753189e-162,-1.41701056974485,0.757,0.943,1.57635103625207e-157
"FCN3",1.53936076368554e-160,3.08343599168025,0.622,0.183,3.42307653020753e-156
"SPP1",3.36611663064001e-159,-2.11361420090856,0.045,0.315,7.48523355155419e-155
"C1orf162",7.56608221019044e-150,1.98102698193772,0.544,0.208,1.68246970108005e-145
"IGFBP4",8.77661673228304e-148,-1.39029824732378,0.143,0.476,1.95165626275778e-143
"ALDH2",1.1991882684193e-142,1.45317517230246,0.654,0.414,2.666634952484e-138
"ADAMTS9",1.10566212544949e-135,-1.08731328616235,0.061,0.324,2.45866086836203e-131
"ADAMTS4",3.17403245642453e-131,-1.03532399073602,0.012,0.199,7.05809597335122e-127
"SFTPB",9.46788398045349e-130,2.6075228180929,0.453,0.095,2.10537336073344e-125
"CD163",4.74559641807084e-126,1.54537295247427,0.492,0.164,1.05527827548641e-121
"IGFBP7",1.65014382593378e-125,-2.04789020753347,0.275,0.596,3.66942482572895e-121
"SLPI",2.73817111143748e-122,2.58799978572742,0.524,0.172,6.08887110050353e-118
"C1QC",1.03195372846432e-121,1.79239074364559,0.509,0.16,2.29475550598612e-117
"COL3A1",7.70088020127725e-120,-2.10601390764615,0.02,0.206,1.71244473035802e-115
"RP11-598F7.3",2.99526737892288e-114,1.27016200108482,0.314,0.021,6.66057607051082e-110
"RP11-1143G9.4",5.42978946156809e-114,1.13671074612009,0.341,0.036,1.2074222825689e-109
"VSIG4",1.88764299965002e-111,1.82839680750698,0.507,0.214,4.19755173832176e-107
"IFNGR1",4.72900487447176e-111,1.4682960484229,0.65,0.448,1.05158881393628e-106
"SFTPA1",1.49137104758793e-104,3.0111510090227,0.321,0.032,3.31636179852127e-100
"IGHG2",5.32782958929363e-103,-2.9268111791097,0.008,0.151,1.18474946577122e-98
"GLUL",6.70638346485167e-101,1.14229063609293,0.784,0.678,1.49129849107907e-96
"JCHAIN",5.11424343577306e-100,-2.22528834526364,0.018,0.178,1.13725431281285e-95
"HLA-C",3.19883073126788e-99,1.03295377065656,0.901,0.907,7.11323989712039e-95
"LYZ",7.44994853106432e-94,1.31210582713884,0.627,0.352,1.65664505485277e-89
"RBP4",8.51961964822053e-93,1.0860831113944,0.271,0.019,1.8945078211748e-88
"COL1A2",7.86209183081782e-87,-1.92515096392509,0.055,0.243,1.74829336041896e-82
"DNAJB1",1.25023481446464e-83,-1.05507235254737,0.609,0.848,2.78014715692503e-79
"BGN",5.24638414281747e-82,-1.17139946147462,0.084,0.292,1.16663844183832e-77
"CYP4B1",1.34246958216922e-81,1.44941092340336,0.278,0.042,2.98524960986969e-77
"COL1A1",2.31806070292904e-80,-2.07343709121188,0.043,0.21,5.1546715851033e-76
"ZBTB16",6.64782344708489e-80,1.14660575439167,0.343,0.098,1.47827649992827e-75
"GPX3",6.65643181189752e-79,1.96416482466758,0.676,0.484,1.48019074201165e-74
"EGFL6",1.96093685126716e-78,-1.01807011534149,0.008,0.124,4.36053527616279e-74
"C15orf48",4.56279611776133e-78,-1.51271856410294,0.073,0.256,1.01462897270659e-73
"NAPSA",2.55883327922885e-77,2.2922538605927,0.267,0.038,5.6900775630212e-73
"GCHFR",4.36520864282397e-77,1.22955275523785,0.456,0.212,9.70691445904766e-73
"SFTPD",3.61687963524222e-76,2.10807266410851,0.226,0.014,8.04285524488813e-72
"SFTPA2",5.43887196738375e-76,2.06999689290675,0.285,0.049,1.20944195938713e-71
"MZB1",7.33209629536083e-76,-1.31626047463673,0.006,0.112,1.63043825319939e-71
"CLEC4E",1.45732560470382e-75,1.05883500606804,0.316,0.077,3.24065494717988e-71
"CD52",2.28699334479368e-75,1.58677096056836,0.556,0.328,5.08558710081772e-71
"SPARC",8.43204156372659e-75,-1.31868114131448,0.28,0.518,1.87503308252588e-70
"MCEMP1",1.00679376557339e-74,1.19668516361493,0.387,0.137,2.23880729650556e-70
"AGER",3.81604315212354e-74,2.5309750695167,0.208,0.006,8.48573515737711e-70
"SFTA2",6.27887928610436e-72,2.20026138290976,0.267,0.049,1.39623438685103e-67
